name,armed robbery,car theft,snatch theft,minor injuries,robbery,serious injuries,theft,vandalism,date
fabrica 1,0,0,0,0,7,0,8,3,06/01/2014
fabrica 2,0,0,0,0,8,0,2,2,29/07/2013
fabrica 3,0,0,0,0,9,0,2,2,01/08/2021
fabrica 4,0,0,0,0,2,0,2,2,11/07/2014
fabrica 5,0,0,0,0,5,0,5,2,17/05/2010
fabrica 6,0,0,0,0,7,0,5,7,22/05/2014
fabrica 7,0,0,0,0,2,0,10,7,21/07/2014
fabrica 8,0,0,0,0,5,0,10,8,11/07/2011
fabrica 9,0,0,0,0,8,0,8,3,28/02/2018
fabrica 10,0,0,0,0,10,0,9,10,08/07/2021
fabrica 11,0,0,0,0,8,0,5,10,25/12/2017
fabrica 12,0,0,0,0,9,0,4,7,06/05/2011
fabrica 13,0,0,0,0,3,0,6,7,31/10/2021
fabrica 14,0,0,0,0,9,0,9,7,21/11/2010
fabrica 15,0,0,0,0,8,0,4,6,05/05/2013
fabrica 16,0,0,0,0,6,0,6,4,15/11/2021
fabrica 17,0,0,0,0,8,0,7,8,22/02/2015
fabrica 18,0,0,0,0,10,0,8,5,02/01/2018
fabrica 19,0,0,0,0,2,0,10,2,16/03/2016
fabrica 20,0,0,0,0,7,0,6,1,17/02/2013
fabrica 21,0,0,0,0,2,0,5,7,20/07/2014
fabrica 22,0,0,0,0,8,0,3,9,14/09/2018
fabrica 23,0,0,0,0,7,0,7,4,16/10/2011
fabrica 24,0,0,0,0,5,0,3,4,07/03/2016
fabrica 25,0,0,0,0,9,0,7,7,15/02/2014
fabrica 26,0,0,0,0,2,0,2,8,14/12/2017
fabrica 27,0,0,0,0,3,0,5,10,08/05/2014
fabrica 28,0,0,0,0,10,0,1,2,26/10/2018
fabrica 29,0,0,0,0,9,0,4,2,07/03/2018
fabrica 30,0,0,0,0,8,0,6,9,26/09/2016
fabrica 31,0,0,0,0,6,0,1,1,24/03/2013
fabrica 32,0,0,0,0,9,0,4,3,10/11/2018
fabrica 33,0,0,0,0,1,0,2,6,02/09/2019
fabrica 34,0,0,0,0,10,0,5,1,15/09/2017
fabrica 35,0,0,0,0,6,0,7,2,11/11/2013
fabrica 36,0,0,0,0,3,0,2,5,12/10/2016
fabrica 37,0,0,0,0,9,0,2,4,14/09/2016
fabrica 38,0,0,0,0,10,0,9,10,01/07/2014
fabrica 39,0,0,0,0,10,0,9,2,09/10/2015
fabrica 40,0,0,0,0,1,0,2,4,20/09/2015
fabrica 41,0,0,0,0,4,0,6,1,02/06/2018
fabrica 42,0,0,0,0,3,0,4,7,30/10/2013
fabrica 43,0,0,0,0,8,0,4,3,12/05/2013
fabrica 44,0,0,0,0,4,0,7,5,13/07/2015
fabrica 45,0,0,0,0,7,0,10,3,08/01/2013
fabrica 46,0,0,0,0,2,0,6,8,13/01/2019
fabrica 47,0,0,0,0,2,0,6,6,21/10/2019
fabrica 48,0,0,0,0,10,0,2,1,24/06/2018
fabrica 49,0,0,0,0,2,0,9,7,30/08/2015
fabrica 50,0,0,0,0,2,0,1,7,20/03/2019
fabrica 51,0,0,0,0,4,0,4,6,23/12/2014
fabrica 52,0,0,0,0,6,0,7,9,24/12/2016
fabrica 53,0,0,0,0,6,0,3,10,23/10/2010
