name,armed robbery,car theft,snatch theft,minor injuries,robbery,serious injuries,theft,vandalism,date,latitude,longitude
complaint1,0,0,0,0,0,0,1,0,12/09/2014,-31.435038286229776,-64.25022246240133
complaint2,0,0,0,0,2,0,2,0,19/12/2018,-31.44072442015035,-64.25013828739748
complaint3,0,0,0,0,2,0,2,1,20/07/2017,-31.444825957274286,-64.25126597895418
complaint4,0,0,0,0,1,0,0,2,04/04/2010,-31.44941305011722,-64.25080268704359
complaint5,0,0,0,0,0,0,1,2,24/02/2017,-31.448212096997832,-64.24973989560556
complaint6,0,0,0,0,1,0,2,1,19/06/2014,-31.44380768189999,-64.25093089004748
complaint7,0,0,0,0,2,0,2,1,04/12/2014,-31.449300457254843,-64.25234142949166
complaint8,0,0,0,0,0,0,1,0,06/11/2017,-31.438073010134524,-64.25166429011523
complaint9,0,0,0,0,1,0,0,2,20/06/2020,-31.45032872226457,-64.25178814454026
complaint10,0,0,0,0,2,0,1,1,04/11/2021,-31.44847926077197,-64.2519729633963
complaint11,0,0,0,0,1,0,0,0,29/03/2013,-31.43586074557127,-64.25023045362258
complaint12,0,0,0,0,1,0,1,1,21/12/2015,-31.448080316958784,-64.24989151393424
complaint13,0,0,0,0,2,0,2,2,07/05/2011,-31.436699043489757,-64.24982342161366
complaint14,0,0,0,0,2,0,2,0,19/12/2021,-31.44179447669984,-64.2512725149614
complaint15,0,0,0,0,2,0,2,2,06/02/2011,-31.432781452218787,-64.24998142926341
complaint16,0,0,0,0,2,0,1,2,23/05/2017,-31.44529777959176,-64.25115723298818
complaint17,0,0,0,0,1,0,0,2,10/01/2015,-31.448697185436252,-64.25048345787984
complaint18,0,0,0,0,1,0,0,0,10/10/2016,-31.44909267182298,-64.24985439881813
complaint19,0,0,0,0,0,0,1,0,17/05/2013,-31.44141911615649,-64.25023718361771
complaint20,0,0,0,0,0,0,2,1,25/06/2017,-31.44672004339426,-64.24972988611381
complaint21,0,0,0,0,1,0,1,0,09/10/2019,-31.437589903916965,-64.25228333887186
complaint22,0,0,0,0,0,0,0,1,02/05/2011,-31.434496638723434,-64.25090811889498
complaint23,0,0,0,0,0,0,2,2,27/12/2017,-31.44511844337039,-64.25178260777136
complaint24,0,0,0,0,1,0,0,0,16/09/2011,-31.43849932630697,-64.25092155552441
complaint25,0,0,0,0,1,0,1,1,17/08/2021,-31.433103994288537,-64.25031931831228
complaint26,0,0,0,0,0,0,1,1,26/04/2012,-31.449959362507016,-64.25006387160694
complaint27,0,0,0,0,1,0,2,2,12/12/2018,-31.44074173864464,-64.2503900761365
complaint28,0,0,0,0,2,0,0,1,10/06/2015,-31.438804428784675,-64.25201765780784
complaint29,0,0,0,0,2,0,2,0,11/12/2014,-31.433833211172622,-64.25035164581924
complaint30,0,0,0,0,0,0,1,1,15/06/2019,-31.444786136235365,-64.25185181842409
complaint31,0,0,0,0,0,0,0,2,12/02/2016,-31.443451887476236,-64.24978324012933
complaint32,0,0,0,0,0,0,0,1,03/10/2012,-31.442457512021377,-64.25059902052293
complaint33,0,0,0,0,2,0,2,1,15/02/2016,-31.448375231428244,-64.24966524570107
complaint34,0,0,0,0,0,0,1,1,16/12/2015,-31.44550686583183,-64.24992797106394
complaint35,0,0,0,0,1,0,1,1,21/11/2011,-31.442620662978555,-64.2512155465374
complaint36,0,0,0,0,1,0,1,0,21/03/2014,-31.44401041553564,-64.25148763037053
complaint37,0,0,0,0,2,0,1,0,31/08/2012,-31.439458820534053,-64.25196851688366
complaint38,0,0,0,0,2,0,2,1,03/04/2016,-31.446045345258426,-64.25083944958843
complaint39,0,0,0,0,2,0,1,0,08/09/2010,-31.447089426058266,-64.24966507885787
complaint40,0,0,0,0,2,0,2,1,26/08/2010,-31.44559494331779,-64.25199459920177
complaint41,0,0,0,0,1,0,0,1,10/04/2014,-31.43407731602623,-64.25231439507506
complaint42,0,0,0,0,2,0,1,2,06/02/2010,-31.436455520174157,-64.24999001255851
complaint43,0,0,0,0,0,0,1,2,22/11/2016,-31.43469078191018,-64.2517299305286
complaint44,0,0,0,0,1,0,2,1,01/01/2017,-31.44972411753023,-64.25093257444624
complaint45,0,0,0,0,2,0,2,0,12/10/2016,-31.449236802597003,-64.25123102647474
complaint46,0,0,0,0,2,0,0,1,11/02/2015,-31.434148575627578,-64.2501143634599
complaint47,0,0,0,0,1,0,2,0,02/08/2020,-31.441779296706994,-64.2504301608339
complaint48,0,0,0,0,0,0,2,1,18/03/2012,-31.450695088747104,-64.24961101488105
complaint49,0,0,0,0,0,0,2,0,14/05/2015,-31.44096873295036,-64.24992648455766
complaint50,0,0,0,0,1,0,0,0,18/02/2019,-31.435618296885096,-64.25071218735992
