name,armed robbery,car theft,snatch theft,minor injuries,robbery,serious injuries,theft,vandalism,date
complaint 1,0,2,0,2,1,0,3,0,30/11/2016
complaint 2,0,1,0,2,2,0,1,0,20/02/2021
complaint 3,0,1,0,2,1,0,2,0,24/02/2013
complaint 4,0,1,0,2,3,0,2,0,30/06/2018
complaint 5,0,1,0,1,1,0,3,0,28/01/2018
complaint 6,0,2,0,2,2,0,3,0,04/07/2021
complaint 7,0,2,0,2,1,0,1,0,17/10/2019
complaint 8,0,1,0,2,2,0,1,0,04/03/2018
complaint 9,0,1,0,1,3,0,2,0,18/04/2011
complaint 10,0,1,0,1,1,0,3,0,31/10/2015
complaint 11,0,1,0,1,3,0,2,0,23/08/2010
complaint 12,0,1,0,2,3,0,3,0,21/06/2018
complaint 13,0,1,0,1,1,0,2,0,20/11/2018
complaint 14,0,1,0,1,1,0,2,0,09/09/2016
complaint 15,0,1,0,1,3,0,2,0,07/02/2017
complaint 16,0,1,0,2,2,0,1,0,02/04/2010
complaint 17,0,2,0,2,3,0,3,0,18/05/2013
complaint 18,0,2,0,1,1,0,3,0,05/09/2014
complaint 19,0,1,0,1,3,0,1,0,22/10/2011
complaint 20,0,1,0,2,1,0,1,0,09/11/2017
complaint 21,0,1,0,1,1,0,2,0,02/10/2014
complaint 22,0,2,0,1,2,0,2,0,11/03/2010
complaint 23,0,1,0,2,1,0,3,0,12/04/2015
complaint 24,0,2,0,1,3,0,2,0,23/04/2017
complaint 25,0,2,0,1,1,0,2,0,19/02/2010
complaint 26,0,1,0,2,2,0,1,0,17/11/2016
complaint 27,0,1,0,1,1,0,1,0,24/09/2014
complaint 28,0,1,0,1,3,0,3,0,08/11/2014
complaint 29,0,2,0,2,1,0,2,0,25/09/2021
complaint 30,0,2,0,2,3,0,3,0,26/01/2017
complaint 31,0,2,0,1,1,0,1,0,20/09/2013
complaint 32,0,2,0,2,1,0,2,0,19/03/2010
complaint 33,0,1,0,1,3,0,3,0,02/02/2016
complaint 34,0,1,0,2,2,0,1,0,03/05/2013
complaint 35,0,2,0,2,1,0,3,0,04/05/2016
complaint 36,0,2,0,1,1,0,1,0,13/06/2017
complaint 37,0,1,0,1,2,0,3,0,14/12/2020
complaint 38,0,1,0,2,3,0,3,0,30/05/2021
complaint 39,0,1,0,2,1,0,2,0,22/03/2012
complaint 40,0,1,0,1,1,0,1,0,16/12/2018
complaint 41,0,1,0,1,3,0,2,0,03/09/2018
complaint 42,0,1,0,1,3,0,1,0,14/10/2012
complaint 43,0,2,0,2,2,0,2,0,16/11/2014
complaint 44,0,2,0,1,1,0,2,0,14/03/2012
complaint 45,0,2,0,1,2,0,1,0,23/08/2010
complaint 46,0,1,0,2,1,0,3,0,18/05/2021
complaint 47,0,2,0,1,3,0,3,0,26/12/2019
complaint 48,0,2,0,2,3,0,3,0,14/05/2017
complaint 49,0,1,0,2,1,0,2,0,01/06/2018
complaint 50,0,2,0,1,3,0,1,0,13/03/2018
complaint 51,0,2,0,2,1,0,1,0,24/09/2017
complaint 52,0,1,0,1,1,0,3,0,11/10/2012
complaint 53,0,1,0,2,2,0,3,0,15/03/2019
complaint 54,0,1,0,2,3,0,3,0,15/04/2013
complaint 55,0,2,0,1,3,0,1,0,22/05/2020
complaint 56,0,2,0,1,3,0,2,0,25/09/2013
complaint 57,0,1,0,2,2,0,2,0,11/07/2017
complaint 58,0,1,0,1,2,0,2,0,07/09/2016
complaint 59,0,1,0,2,1,0,2,0,29/12/2016
complaint 60,0,1,0,1,3,0,1,0,20/09/2012
complaint 61,0,1,0,2,2,0,1,0,18/12/2014
complaint 62,0,2,0,2,2,0,3,0,13/07/2021
complaint 63,0,2,0,1,2,0,3,0,25/12/2019
complaint 64,0,1,0,1,3,0,1,0,05/05/2017
complaint 65,0,2,0,1,3,0,3,0,26/03/2016
complaint 66,0,2,0,1,3,0,3,0,08/08/2018
complaint 67,0,2,0,1,2,0,3,0,25/09/2011
complaint 68,0,2,0,2,1,0,1,0,15/03/2015
complaint 69,0,2,0,2,1,0,2,0,25/08/2010
complaint 70,0,1,0,1,2,0,2,0,29/11/2015
complaint 71,0,2,0,1,3,0,1,0,13/06/2015
complaint 72,0,1,0,1,1,0,1,0,19/11/2021
complaint 73,0,2,0,1,2,0,1,0,12/05/2013
complaint 74,0,2,0,1,1,0,1,0,29/05/2015
complaint 75,0,1,0,2,3,0,1,0,05/02/2020
complaint 76,0,1,0,1,3,0,2,0,24/08/2017
complaint 77,0,1,0,2,1,0,3,0,12/07/2016
complaint 78,0,1,0,1,2,0,2,0,07/08/2016
complaint 79,0,1,0,1,2,0,3,0,14/03/2011
complaint 80,0,2,0,1,3,0,2,0,03/05/2014
complaint 81,0,1,0,1,1,0,3,0,04/07/2014
complaint 82,0,1,0,2,3,0,3,0,02/08/2018
complaint 83,0,1,0,1,2,0,1,0,19/09/2020
complaint 84,0,1,0,1,2,0,2,0,13/05/2010
complaint 85,0,2,0,1,1,0,2,0,29/03/2011
complaint 86,0,1,0,2,3,0,1,0,05/12/2015
complaint 87,0,2,0,1,1,0,1,0,14/03/2017
complaint 88,0,2,0,1,3,0,1,0,03/11/2020
complaint 89,0,1,0,2,2,0,3,0,28/01/2021
complaint 90,0,1,0,1,2,0,2,0,27/08/2015
complaint 91,0,2,0,1,2,0,2,0,07/10/2018
complaint 92,0,1,0,2,1,0,2,0,08/02/2018
complaint 93,0,2,0,1,2,0,2,0,30/03/2010
complaint 94,0,2,0,1,1,0,1,0,25/11/2015
complaint 95,0,2,0,2,3,0,1,0,21/07/2020
complaint 96,0,2,0,1,3,0,2,0,13/03/2021
complaint 97,0,1,0,2,3,0,1,0,02/07/2019
complaint 98,0,2,0,1,1,0,1,0,21/11/2014
complaint 99,0,1,0,2,1,0,2,0,16/02/2020
complaint 100,0,2,0,1,3,0,1,0,10/03/2012
complaint 101,0,1,0,1,1,0,3,0,30/10/2015
complaint 102,0,2,0,1,2,0,3,0,01/03/2020
complaint 103,0,1,0,1,2,0,3,0,25/10/2010
complaint 104,0,1,0,2,2,0,1,0,31/05/2013
complaint 105,0,2,0,2,2,0,2,0,19/02/2012
complaint 106,0,2,0,2,3,0,3,0,29/12/2015
complaint 107,0,1,0,1,1,0,3,0,04/11/2016
complaint 108,0,2,0,2,3,0,1,0,03/06/2015
complaint 109,0,1,0,1,3,0,3,0,03/01/2012
complaint 110,0,1,0,2,2,0,3,0,08/12/2020
complaint 111,0,2,0,2,3,0,2,0,22/06/2018
complaint 112,0,2,0,1,2,0,3,0,11/05/2021
complaint 113,0,1,0,1,3,0,2,0,17/11/2013
complaint 114,0,2,0,2,3,0,1,0,04/02/2015
complaint 115,0,2,0,2,3,0,1,0,21/08/2014
complaint 116,0,1,0,1,2,0,2,0,29/05/2015
complaint 117,0,2,0,2,3,0,1,0,16/06/2017
complaint 118,0,2,0,2,2,0,3,0,26/11/2018
complaint 119,0,1,0,2,3,0,1,0,06/12/2016
complaint 120,0,1,0,1,1,0,3,0,12/12/2015
complaint 121,0,1,0,2,2,0,1,0,21/02/2010
complaint 122,0,2,0,2,1,0,2,0,11/07/2020
complaint 123,0,2,0,2,3,0,3,0,07/10/2021
complaint 124,0,1,0,1,2,0,2,0,07/11/2016
complaint 125,0,2,0,2,1,0,2,0,13/05/2011
complaint 126,0,1,0,2,2,0,1,0,28/01/2020
complaint 127,0,2,0,1,1,0,1,0,17/06/2013
