name,armed robbery,car theft,snatch theft,minor injuries,robbery,serious injuries,theft,vandalism,date,latitude,longitude
complaint1,0,0,0,2,1,2,1,0,21/07/2021,-31.43649565944187,-64.24514164000391
complaint2,0,0,0,0,0,1,0,2,09/09/2010,-31.444566603421837,-64.2430658901345
complaint3,0,2,0,1,1,2,2,1,09/02/2013,-31.443290526050113,-64.24800463041835
complaint4,0,1,0,2,1,2,2,2,23/06/2013,-31.4339930034583,-64.24409174406104
complaint5,0,1,0,0,0,0,0,0,28/02/2016,-31.442928776828946,-64.2465954171083
complaint6,0,0,0,1,1,1,1,2,03/08/2014,-31.439292373929366,-64.24565338125308
complaint7,0,2,0,2,1,2,0,1,19/08/2019,-31.444918639998917,-64.24540942817438
complaint8,0,1,0,1,0,1,0,0,04/05/2018,-31.440068672556226,-64.24416707968676
complaint9,0,0,0,2,1,2,2,2,31/03/2020,-31.432579981531386,-64.24456574142584
complaint10,0,2,0,2,1,2,1,0,26/01/2015,-31.438666341505876,-64.24634895691116
complaint11,0,1,0,1,0,1,2,1,04/03/2017,-31.442987539120946,-64.24495513984061
complaint12,0,2,0,1,0,2,1,0,05/11/2021,-31.433351084501794,-64.24469774561022
complaint13,0,1,0,0,0,0,2,2,27/09/2018,-31.43891483876149,-64.24792585023127
complaint14,0,1,0,0,2,1,2,1,07/12/2017,-31.443145831592386,-64.24348841850292
complaint15,0,0,0,0,1,0,1,2,12/08/2012,-31.44167077364775,-64.24617582205799
complaint16,0,0,0,2,1,0,2,0,30/04/2014,-31.43553134939484,-64.24721222550531
complaint17,0,0,0,2,1,0,2,1,11/11/2015,-31.446049657764362,-64.2476717612136
complaint18,0,2,0,1,1,0,0,1,07/01/2021,-31.44143559153061,-64.24555060605704
complaint19,0,2,0,1,1,2,0,2,26/09/2012,-31.44371393020828,-64.24390927902787
complaint20,0,2,0,2,2,1,0,2,04/01/2010,-31.432843993615627,-64.24712140086017
complaint21,0,0,0,1,0,0,2,0,11/10/2010,-31.44475369295468,-64.24796881846767
complaint22,0,0,0,0,0,0,1,1,05/08/2021,-31.446817659493867,-64.24727996759157
complaint23,0,1,0,2,2,0,1,0,18/01/2010,-31.444379696018892,-64.24375021521764
complaint24,0,1,0,1,1,2,1,2,12/11/2021,-31.44147548373716,-64.24774094284518
complaint25,0,2,0,1,2,0,2,0,18/06/2020,-31.44536883860188,-64.24594684215137
complaint26,0,0,0,2,0,2,0,1,05/09/2019,-31.442214281804244,-64.24542404123699
complaint27,0,1,0,1,2,0,2,2,01/05/2020,-31.432614869192573,-64.24355313227491
complaint28,0,1,0,2,1,1,2,2,15/09/2021,-31.43773580383784,-64.24633648746469
complaint29,0,1,0,0,2,2,2,0,21/08/2018,-31.43406705645613,-64.24623066012921
complaint30,0,1,0,2,2,0,2,0,21/12/2021,-31.44666545067392,-64.24537759934272
complaint31,0,2,0,0,2,0,2,2,09/04/2011,-31.44487608065903,-64.24469625725123
complaint32,0,1,0,1,1,2,1,1,30/11/2014,-31.439726416701202,-64.24417926503686
complaint33,0,1,0,0,1,2,1,2,07/04/2017,-31.435252708201862,-64.2428904322802
complaint34,0,2,0,0,0,1,0,1,22/04/2011,-31.44336751689797,-64.24777030264411
complaint35,0,1,0,0,2,0,2,0,22/02/2012,-31.436640096486048,-64.24407296001449
complaint36,0,0,0,2,2,2,0,0,26/11/2021,-31.442845545164175,-64.24731836716936
