name,armed robbery,car theft,snatch theft,minor injuries,robbery,serious injuries,theft,vandalism,date
complaint 1,1,0,1,0,1,0,0,0,03/06/2020
complaint 2,2,0,1,0,2,0,0,0,28/11/2017
complaint 3,1,0,2,0,2,0,0,0,08/09/2015
complaint 4,2,0,2,0,2,0,0,0,01/02/2015
complaint 5,1,0,1,0,2,0,0,0,19/07/2010
complaint 6,1,0,2,0,2,0,0,0,14/07/2014
complaint 7,1,0,1,0,1,0,0,0,28/08/2011
complaint 8,1,0,2,0,2,0,0,0,16/09/2011
complaint 9,1,0,1,0,2,0,0,0,23/09/2015
complaint 10,2,0,1,0,1,0,0,0,15/08/2013
complaint 11,1,0,1,0,2,0,0,0,08/10/2010
complaint 12,2,0,1,0,1,0,0,0,14/06/2016
complaint 13,2,0,2,0,2,0,0,0,08/02/2015
complaint 14,1,0,2,0,1,0,0,0,31/01/2016
complaint 15,2,0,2,0,2,0,0,0,11/06/2019
complaint 16,1,0,1,0,1,0,0,0,28/01/2018
complaint 17,1,0,2,0,2,0,0,0,09/10/2018
complaint 18,2,0,2,0,1,0,0,0,15/07/2011
complaint 19,2,0,2,0,2,0,0,0,08/09/2020
complaint 20,1,0,1,0,1,0,0,0,18/08/2013
complaint 21,1,0,1,0,2,0,0,0,13/09/2018
complaint 22,1,0,1,0,1,0,0,0,01/05/2019
complaint 23,1,0,1,0,1,0,0,0,12/11/2012
complaint 24,2,0,2,0,2,0,0,0,03/09/2015
complaint 25,2,0,2,0,1,0,0,0,07/07/2012
complaint 26,1,0,2,0,2,0,0,0,13/08/2019
complaint 27,1,0,2,0,1,0,0,0,27/05/2014
complaint 28,1,0,2,0,2,0,0,0,17/10/2017
complaint 29,1,0,2,0,1,0,0,0,02/10/2021
complaint 30,1,0,2,0,1,0,0,0,18/01/2011
complaint 31,2,0,2,0,1,0,0,0,17/03/2010
complaint 32,2,0,2,0,2,0,0,0,19/03/2014
complaint 33,1,0,1,0,1,0,0,0,01/02/2015
complaint 34,1,0,2,0,2,0,0,0,14/08/2010
complaint 35,1,0,2,0,1,0,0,0,26/05/2011
complaint 36,2,0,2,0,2,0,0,0,06/02/2019
complaint 37,1,0,1,0,2,0,0,0,09/04/2021
complaint 38,2,0,2,0,1,0,0,0,26/02/2019
complaint 39,2,0,1,0,2,0,0,0,01/02/2019
complaint 40,2,0,1,0,1,0,0,0,02/09/2014
complaint 41,1,0,2,0,1,0,0,0,03/08/2017
complaint 42,2,0,2,0,1,0,0,0,08/06/2018
