name,armed robbery,car theft,snatch theft,minor injuries,robbery,serious injuries,theft,vandalism,date,latitude,longitude
complaint1,0,0,1,0,0,0,0,0,15/10/2017,-31.45095379583038,-64.24764945548763
complaint2,2,0,0,0,0,0,0,0,04/07/2017,-31.45158469340511,-64.24381957243817
complaint3,1,0,0,0,0,0,0,0,04/02/2013,-31.44914631060405,-64.2433486754986
complaint4,1,0,1,0,0,0,0,0,17/10/2017,-31.451179678136473,-64.24742145105421
complaint5,0,0,1,0,2,0,0,0,30/09/2011,-31.44911499372006,-64.24783329395812
complaint6,2,0,1,0,1,0,0,0,17/11/2015,-31.450633794255552,-64.24814810787284
complaint7,0,0,1,0,1,0,0,0,13/11/2016,-31.44892472770338,-64.24720324462412
complaint8,1,0,1,0,0,0,0,0,26/02/2013,-31.451318227896994,-64.24533825522356
complaint9,1,0,1,0,2,0,0,0,03/08/2013,-31.448656995459896,-64.24386311762808
complaint10,1,0,2,0,0,0,0,0,17/07/2013,-31.450487998205837,-64.24438426603963
complaint11,1,0,2,0,2,0,0,0,29/10/2011,-31.45071504394432,-64.24445293839744
complaint12,1,0,2,0,1,0,0,0,25/02/2014,-31.44999981216951,-64.24309794377417
complaint13,2,0,0,0,0,0,0,0,27/10/2019,-31.448236817859108,-64.24920181102644
complaint14,1,0,1,0,0,0,0,0,15/04/2011,-31.447927905064297,-64.2451217148276
complaint15,0,0,2,0,1,0,0,0,07/01/2020,-31.45022334055193,-64.24385412431005
complaint16,2,0,2,0,2,0,0,0,16/02/2014,-31.44908146105751,-64.24795907611062
complaint17,2,0,1,0,0,0,0,0,13/02/2011,-31.447713718842245,-64.2488527962884
complaint18,0,0,0,0,1,0,0,0,26/04/2019,-31.449985022178936,-64.24887780978626
complaint19,1,0,2,0,1,0,0,0,12/11/2011,-31.449022215196784,-64.24934464881832
complaint20,2,0,1,0,0,0,0,0,02/11/2018,-31.450113335077678,-64.24638023952033
complaint21,0,0,1,0,0,0,0,0,30/06/2016,-31.448198635787083,-64.24597914715645
complaint22,1,0,2,0,1,0,0,0,25/04/2021,-31.449746338960757,-64.24761330452367
complaint23,2,0,0,0,2,0,0,0,28/06/2011,-31.448713098601274,-64.24372703182037
complaint24,1,0,2,0,2,0,0,0,19/04/2014,-31.44900941427033,-64.24758880059065
complaint25,2,0,1,0,0,0,0,0,14/11/2020,-31.45004588251574,-64.24445748661938
complaint26,0,0,0,0,2,0,0,0,18/03/2021,-31.449221841383768,-64.24909378848366
complaint27,1,0,1,0,0,0,0,0,26/03/2021,-31.448764970249005,-64.24433814242475
complaint28,2,0,1,0,1,0,0,0,09/12/2014,-31.448560612167896,-64.24722615207024
complaint29,1,0,0,0,2,0,0,0,11/08/2019,-31.450958765532576,-64.2442098701081
complaint30,0,0,1,0,0,0,0,0,21/03/2014,-31.449606442036394,-64.2467065860002
complaint31,2,0,2,0,0,0,0,0,11/05/2020,-31.45151654111051,-64.24860567721554
complaint32,0,0,1,0,1,0,0,0,17/03/2021,-31.449030046288687,-64.24924200879754
complaint33,0,0,0,0,1,0,0,0,02/01/2012,-31.447693254343744,-64.24830030740688
complaint34,0,0,1,0,0,0,0,0,11/06/2016,-31.45009556881943,-64.24737875731552
complaint35,1,0,2,0,0,0,0,0,25/08/2019,-31.448395351641057,-64.24511623478725
complaint36,2,0,1,0,2,0,0,0,21/02/2020,-31.447527911578227,-64.24635725804823
complaint37,0,0,0,0,0,0,0,0,03/06/2010,-31.450433915901343,-64.24822506207917
complaint38,1,0,0,0,2,0,0,0,04/04/2013,-31.45122903322337,-64.24930666220202
complaint39,1,0,0,0,0,0,0,0,04/10/2012,-31.449675543516893,-64.24866355503075
complaint40,0,0,0,0,0,0,0,0,05/07/2011,-31.44991077071519,-64.2479294114867
complaint41,2,0,0,0,2,0,0,0,28/06/2015,-31.44847271243897,-64.2442140176177
complaint42,2,0,0,0,1,0,0,0,17/08/2019,-31.448735847656632,-64.24669892025588
complaint43,0,0,1,0,0,0,0,0,25/08/2012,-31.448321046712035,-64.24296943528284
complaint44,1,0,1,0,1,0,0,0,02/03/2019,-31.45183754440531,-64.24351439604021
complaint45,2,0,1,0,0,0,0,0,21/07/2013,-31.448163437473024,-64.24512814323823
complaint46,0,0,0,0,2,0,0,0,09/06/2011,-31.449098192379314,-64.2446309075906
complaint47,0,0,0,0,0,0,0,0,21/11/2010,-31.450130270453478,-64.24321086967058
complaint48,1,0,2,0,2,0,0,0,08/08/2021,-31.44774944577876,-64.24543940927548
complaint49,0,0,0,0,2,0,0,0,20/04/2015,-31.448448625302532,-64.24369044087379
complaint50,1,0,2,0,0,0,0,0,11/10/2014,-31.45017893822436,-64.24498591224216
complaint51,0,0,1,0,1,0,0,0,23/06/2020,-31.451469913599574,-64.244770104953
complaint52,2,0,0,0,1,0,0,0,02/11/2018,-31.448332515860184,-64.24708884017349
complaint53,1,0,1,0,1,0,0,0,21/03/2013,-31.448060205884964,-64.24728988832778
complaint54,0,0,2,0,2,0,0,0,22/07/2012,-31.451428656590558,-64.24954289863054
complaint55,0,0,0,0,0,0,0,0,26/05/2017,-31.45098466674712,-64.24560863738404
complaint56,0,0,0,0,0,0,0,0,03/03/2010,-31.45079076166296,-64.24532073672071
complaint57,1,0,0,0,2,0,0,0,14/05/2013,-31.451209689668257,-64.24316968868413
complaint58,2,0,0,0,1,0,0,0,25/09/2018,-31.45167337510474,-64.24517815160092
complaint59,2,0,1,0,2,0,0,0,23/09/2011,-31.44907719585731,-64.2475480718177
complaint60,1,0,1,0,1,0,0,0,30/10/2011,-31.451024450120247,-64.24368013929548
